"Libelle Arabe","Libelle Français","Population municipale (Effectif): Ensemble"
"هوارة أولاد رحو","Houara Oulad Raho","39687"
"سيدي يحيى الغرب","Sidi Yahia El Gharb","39201"
"تاونات","Taounate","39071"
"بحارة أولاد عياد","Bahhara Ouled Ayad","38577"
"العطاوية","Laattaouia","38402"
"الاوداية","Loudaya","38246"
"شيشاوة","Chichaoua","38206"
"سيدي علي بن حمدوش","Sidi Ali Ben Hamdouche","38115"
"شتوكة","Chtouka","38024"
"عامر السفلية","Ameur Seflia","37935"
"الويدان","Al Ouidane","37448"
"برادية","Bradia","37006"
"زايو","Zaio","36759"
"زومي","Zoumi","36573"
"أكلموس","Aguelmous","36555"
"بلفاع","Belfaâ","36506"
"المكرن","Mograne","36452"
"واحة سيدي ابراهيم","Ouahat Sidi Brahim","36448"
"اغواطيم","Aghouatim","36090"
"دار العسلوجي","Dar Laaslouji","36072"
"أولاد احسين","Ouled Hcine","36015"
"حوزية","Haouzia","35775"
"للا ميمونة","Lalla Mimouna","35487"
"عرباوة","Arbaoua","35072"
"الغنادرة","Laghnadra","34610"
"امزورن","Imzouren","34497"
"سيدي رحال الشاطئ","Sidi Rahal Chatai","34428"
"النواصر","Nouaceur","34271"
"سيدي الكامل","Sidi Al Kamel","34016"
"أصيلة","Assilah","33975"
"دمنات","Demnate","33628"
"بن احمد","Ben Ahmed","33332"
"أولاد احسين","Ouled H'cine","33223"
"آيت فاسكا","Ait Faska","33069"
"عين تاوجطات","Ain Taoujdate","33048"
"القصيبية","Kceibya","33007"
"سيدي اسماعيل","Sidi Smail","32691"
"مولاي بوسلهام","Moulay Bousselham","32629"
"مشرع بلقصيري","Mechraa Bel Ksiri","32615"
"السويهلة","Souihla","32500"
"دار بلعامري","Dar Bel Amri","32493"
"لقصير","Laqsir","32375"
"جرف الملحة","Jorf El Melha","31945"
"أولاد رحمون","Oulad Rahmoune","31420"
"ازغنغان","Zeghanghane","31346"
"ايير","Ayir","30867"
"أولاد برحيل","Oulad Berhil","30274"
"سيدي موسى المجذوب","Sidi Moussa El Majdoub","30254"
"لبير الجديد","Lbir Jdid","30245"
"سيدي سليمان-الشراعة","Sidi Slimane Echcharaa","30130"
"دار ولد زيدوح","Dar Ould Zidouh","30113"
"المهاية","M'haya","30056"
"أولاد زمام","Ouled Zmam","30038"
"باب تازة","Bab Taza","29895"
"حرارة","Hrara","29730"
"افريطيسة","Fritissa","29594"
"زمران الشرقية","Zemrane Charqia","29559"
"مديونة","Mediouna","29552"
"المنصورية","El Mansouria","29125"
"أرفود","Arfoud","28876"
"سبع عيون","Sabaa Aiyoun","28735"
"بني مالك","Beni Malek","28711"
"اغمات","Ghmate","28646"
"سيدي علال البحراوي","Sidi Allal El Bahraoui","28643"
"كريفات","Krifate","28596"
"تاهلة","Tahla","28590"
"الريش","Er-Rich","28452"
"سلوان","Selouane","28435"
"المرسى","El Marsa","28401"
"عين الشكاك","Ain Cheggag","28355"
"سانية بركيك","Saniat Berguig","28314"
"الدخيسة","Dkhissa","28211"
"صفصاف","Sefsaf","28106"
"ميسور","Missour","27973"
"أولاد غانم","Ouled Ghanem","27894"
"بوعرفة","Bouarfa","27485"
"أولاد حسون","Oulad Hassoune","27241"
"سيدي المختار","Sid L'mokhtar","27042"
"لمزوضية","Lamzoudia","27004"
"تولال","Toulal","26968"
"انويرات","Nouirate","26833"
"أولاد ناصر","Ouled Nacer","26731"
"مرس الخير","Mers El Kheir","26544"
"سبع رواضي","Sebaa Rouadi","26504"
"تادرت","Taddart","26403"
"واولى","Ouaoula","26400"
"الخنيشات","Khnichet","26246"
"لغديرة","Laghdira","26192"
"متوح","Mettouh","26074"
"الشماعية","Echemmaia","26014"
"سيدي عابد","Sidi Abed","25872"
"دير القصيبة","Dir El Ksiba","25851"
"أولاد إيعيش","Ouled Yaich","25783"
"أولاد ستوت","Oulad Settout","25390"
"أولاد عيسى","Oulad Aissa","25367"
"امزوضة","M'zouda","25316"
"حجر النحل","Hjar Ennhal","25301"
"زوادة","Zouada","25286"
"أولاد سبيطة","Oulad Sbaita","25230"
"زاوية الشيخ","Zaouiat Cheikh","25063"
"امنتانوت","Imintanoute","25041"
"بوهودة","Bouhouda","24823"
"الصفافعة","Sfafaa","24744"
"باب برد","Bab Berred","24742"
"سيدي محمد بنمنصور","Sidi Mohamed Benmansour","24698"
"كيكو","Guigou","24674"
"سبت كزولة","Sebt Gzoula","24596"
"أولاد عياد","Ouled Ayad","24563"
"سيدي عيسى بن علي","Sidi Aissa Ben Ali","24502"
"عبد الغاية السواحل","Abdelghaya Souahel","24435"
"تمروت","Tamorot","24258"
"فم العنصر","Foum El Anceur","24225"
"سوق ثلاثاء الغرب","Souk Tlet El Gharb","24190"
"ستي فاضمة","Sti Fadma","24153"
"سكورة اهل الوسط","Skoura Ahl El Oust","24053"
"أولاد سلامة","Ouled Slama","23848"
"زكزل","Zegzel","23846"
"المكانسة","Mkansa","23680"
"بني عياط","Bni A'yat","23671"
"الكدية البيضاء","El Koudia El Beida","23663"
"بوحمام","Bouhmame","23637"
"آيت امحمد","Ait M'hamed","23531"
"فركلة العليا","Ferkla El Oulia","23362"
"اغيل نومكون","Ighil N'oumgoun","23218"
"سيدي بوموسى","Sidi Boumoussa","23140"
"الغيات","El Ghiate","23107"
"عين الدفالي","Ain Dfali","23016"
"أزلا","Azla","22985"
"عين عائشة","Ain Aicha","22900"
"آيت بوبيدمان","Ait Boubidmane","22780"
"بومعيز","Boumaiz","22693"
"الحدادة","Haddada","22652"
"اسني","Asni","22620"
"الغربية","Lgharbia","22528"
"غياثة الغربية","Ghiata Al Gharbia","22431"
"المساعدة","M'saada","22399"
"سيدي حجاج","Sidi Hajjaj","22357"
"سيدي إفني","Sidi Ifni","22329"
"بني شيكر","Bni Chiker","22298"
"السهول","Shoul","22281"
"إيغود","Ighoud","22076"
"مولاي علي الشريف","Moulay Ali Cherif","22073"
"عامر الشمالية","Ameur Chamalia","21998"
"نكا","Nagga","21993"
"إيموزار كندر","Immouzzer-Kandar","21939"
"سيدي علال التازي","Sidi Allal Tazi","21729"
"كلدمان","Galdamane","21729"
"الوليدية","Loualidia","21716"
"بومية","Boumia","21709"
"أولاد امبارك","Ouled M'barek","21635"
"احمر لكلالشة","Ahmar Laglalcha","21628"
"سيدي بوبكر الحاج","Sidi Boubker El Haj","21610"
"بني سلمان","Bni Selmane","21413"
"الشوافع","Chouafaa","21374"
"تغدوين","Tighedouine","21158"
"جابرية","Jabria","21071"
"آيت يدين","Ait Yadine","21007"
"آيت سيدي داود","Ait Sidi Daoud","20988"
"الهرهورة","Harhoura","20949"
"لمهارزة الساحل","Lamharza Essahel","20924"
"قرية با محمد","Karia Ba Mohamed","20855"
"صاكة","Saka","20849"
"مجاط","Majjate","20656"
"عرب صباح زيز","Aarab Sebbah Ziz","20538"
"تملالت","Tamallalt","20528"
"الكارة","El Gara","20466"
"النيف","Alnif","20448"
"السويسي","Souissi","20391"
"سيدي شيكر","Sidi Chiker","20290"
"سيدي سليمان مول الكيفان","Sidi Slimane Moul Al Kifane","20245"
"تديلي مسفيوة","Tidili Mesfioua","20218"
"أفورار","Afourar","20202"
"لمرابيح","Lamrabih","20154"
"أولاد فرج","Ouled Frej","20127"
"مزامزة الجنوبية","Mzamza Janoubia","20120"
"تاكزيرت","Taghzirt","20023"
"بني بوعياش","Bni Bouayach","20005"
